iter	RMSE
0	21.03960007
1	20.779869
2	20.54512544
3	20.32309089
4	20.06979142
5	19.83400335
6	19.61539066
7	19.37923422
8	19.16856501
9	18.88915602
10	18.65923294
11	18.42440218
12	18.23339484
13	18.01514842
14	17.83764024
15	17.61840103
16	17.43118289
17	17.23131238
18	17.03265165
19	16.85649012
20	16.71485689
21	16.53787102
22	16.35967125
23	16.2198899
24	16.04132898
25	15.89222455
26	15.75430055
27	15.5949512
28	15.44734102
29	15.31816427
30	15.17044647
31	15.00395297
32	14.84423648
33	14.71478008
34	14.57153829
35	14.41421049
36	14.27465437
37	14.12714271
38	13.99200157
39	13.84033283
40	13.71144087
41	13.58101931
42	13.47164806
43	13.3786821
44	13.29200979
45	13.16513921
46	13.05026776
47	12.96736847
48	12.88015604
49	12.76665341
50	12.66404697
51	12.59272507
52	12.50005438
53	12.38216265
54	12.28949107
55	12.16848408
56	12.11165769
57	12.01764092
58	11.92095214
59	11.83852205
60	11.7352846
61	11.65053695
62	11.5597744
63	11.44696009
64	11.35243244
65	11.26877632
66	11.19052739
67	11.10717582
68	11.0262468
69	10.9670329
70	10.87918277
71	10.80622093
72	10.72153358
73	10.64376542
74	10.5695287
75	10.49023762
76	10.41883773
77	10.35433282
78	10.28662579
79	10.20988393
80	10.1248484
81	10.0587201
82	9.999464699
83	9.926459748
84	9.858677696
85	9.779051042
86	9.720263115
87	9.6670576
88	9.599135394
89	9.537113186
90	9.467149491
91	9.418993275
92	9.358679954
93	9.295973157
94	9.243645676
95	9.182212375
96	9.139490152
97	9.084842864
98	9.029602961
99	8.977517581
100	8.922005978
101	8.860429399
102	8.824981831
103	8.769327564
104	8.727473343
105	8.684670475
106	8.63669523
107	8.604891106
108	8.544492791
109	8.510179681
110	8.457385554
111	8.395540126
112	8.355472456
113	8.313486195
114	8.283152675
115	8.236488219
116	8.189720642
117	8.14596214
118	8.100529594
119	8.060516853
120	8.021866558
121	7.979101743
122	7.940361094
123	7.911495179
124	7.877012387
125	7.831053606
126	7.790639944
127	7.756196672
128	7.710789262
129	7.670644212
130	7.639039339
131	7.592391794
132	7.560893719
133	7.511683124
134	7.461975358
135	7.417225143
136	7.379874011
137	7.341350865
138	7.302905157
139	7.264915648
140	7.224159248
141	7.19247858
142	7.153449775
143	7.113784438
144	7.077047727
145	7.04413452
146	7.015417464
147	6.978676446
148	6.943796372
149	6.919753859
150	6.884783203
151	6.859504457
152	6.812957931
153	6.774423013
154	6.745319689
155	6.727436318
156	6.692970479
157	6.654263685
158	6.628735549
159	6.602773
160	6.583785371
161	6.550088797
162	6.523181562
163	6.491926506
