iter	Passed	Remaining
427	2027	2710
428	2031	2703
429	2034	2696
430	2053	2710
431	2054	2701
432	2055	2691
433	2056	2681
434	2057	2672
435	2058	2663
436	2060	2654
437	2061	2644
438	2064	2638
439	2066	2629
440	2068	2621
441	2069	2613
442	2071	2604
443	2073	2596
444	2075	2588
445	2078	2581
446	2080	2573
447	2083	2567
448	2089	2563
449	2106	2574
450	2107	2565
451	2110	2559
452	2113	2552
453	2115	2544
454	2118	2537
455	2119	2528
456	2121	2520
457	2123	2513
458	2125	2505
459	2127	2497
460	2128	2488
461	2129	2479
462	2130	2470
463	2131	2461
464	2133	2454
465	2135	2447
466	2137	2439
467	2153	2447
468	2154	2439
469	2156	2431
470	2157	2422
471	2159	2415
472	2159	2406
473	2160	2397
474	2197	2428
475	2201	2423
476	2203	2415
477	2205	2407
478	2207	2400
479	2210	2394
480	2212	2387
481	2213	2379
482	2216	2372
483	2218	2365
484	2221	2359
485	2223	2351
486	2240	2360
487	2244	2354
488	2247	2348
489	2250	2342
490	2253	2336
491	2256	2330
492	2261	2326
493	2264	2319
494	2267	2313
495	2270	2306
496	2273	2300
497	2274	2293
498	2277	2286
499	2281	2281
500	2285	2275
501	2287	2268
502	2290	2263
503	2292	2256
504	2293	2248
505	2305	2251
506	2308	2244
507	2310	2237
508	2312	2230
509	2314	2223
510	2318	2218
511	2323	2214
512	2327	2209
513	2331	2204
514	2334	2198
515	2367	2220
516	2373	2217
517	2376	2211
518	2378	2204
519	2380	2197
520	2382	2190
521	2402	2199
522	2404	2193
523	2406	2186
524	2410	2180
525	2414	2175
526	2415	2167
527	2416	2160
528	2417	2152
529	2421	2146
530	2422	2140
531	2425	2133
532	2426	2126
533	2427	2118
534	2430	2112
535	2432	2105
536	2433	2098
537	2446	2100
538	2447	2093
539	2451	2088
540	2454	2082
541	2454	2074
542	2455	2066
543	2456	2059
544	2459	2053
545	2461	2046
546	2463	2039
547	2464	2032
548	2465	2025
549	2466	2018
550	2467	2010
551	2468	2003
552	2470	1996
553	2471	1990
554	2473	1983
555	2474	1976
556	2476	1969
557	2478	1963
558	2487	1962
559	2488	1955
560	2489	1948
561	2490	1941
562	2492	1934
563	2494	1928
564	2497	1922
565	2500	1917
566	2501	1910
567	2503	1904
568	2519	1908
569	2521	1902
570	2524	1896
571	2525	1889
572	2527	1883
573	2529	1877
574	2531	1871
575	2533	1864
576	2583	1893
577	2584	1886
578	2585	1879
579	2586	1873
580	2587	1866
581	2591	1861
582	2594	1855
583	2596	1849
584	2597	1842
585	2598	1835
586	2600	1829
587	2603	1824
588	2606	1818
589	2607	1812
590	2610	1806
591	2613	1800
592	2614	1794
593	2622	1792
594	2651	1804
595	2652	1798
596	2655	1792
597	2657	1786
598	2658	1779
599	2659	1773
600	2661	1766
601	2662	1760
602	2665	1755
603	2669	1749
604	2670	1743
605	2671	1736
606	2672	1730
607	2674	1724
608	2675	1717
609	2677	1712
610	2692	1714
611	2693	1707
612	2696	1702
613	2714	1706
614	2716	1700
615	2719	1694
616	2721	1689
617	2722	1682
618	2733	1682
619	2734	1676
620	2735	1669
621	2736	1662
622	2753	1666
623	2755	1660
624	2772	1663
625	2774	1657
626	2775	1651
627	2777	1644
628	2790	1646
629	2796	1642
630	2797	1635
631	2798	1629
632	2799	1623
633	2801	1617
634	2802	1610
635	2805	1605
636	2806	1599
637	2808	1593
638	2811	1588
639	2822	1587
640	2825	1582
641	2829	1577
642	2857	1586
643	2859	1580
644	2860	1574
645	2863	1569
646	2865	1563
647	2868	1558
648	2870	1552
649	2872	1546
650	2874	1540
651	2877	1535
652	2880	1530
653	2882	1525
654	2886	1520
655	2933	1538
656	2935	1532
657	2936	1526
658	2938	1520
659	2939	1514
660	2941	1508
661	2955	1508
662	2956	1502
663	2959	1497
664	2961	1491
665	2979	1494
666	2982	1488
667	2984	1483
668	2987	1477
669	2989	1472
670	2992	1467
671	2997	1462
672	2999	1457
673	3000	1451
674	3001	1445
675	3015	1445
676	3016	1439
677	3017	1433
678	3019	1427
679	3021	1421
680	3038	1423
681	3043	1418
682	3047	1414
683	3051	1409
684	3070	1412
685	3074	1407
686	3075	1401
687	3128	1418
688	3132	1413
689	3133	1407
690	3135	1402
691	3136	1396
692	3139	1390
693	3140	1384
694	3142	1379
695	3144	1373
696	3147	1368
697	3148	1362
698	3149	1356
699	3150	1350
700	3153	1345
701	3166	1344
702	3168	1338
703	3169	1332
704	3172	1327
705	3173	1321
706	3175	1316
707	3179	1311
708	3185	1307
709	3187	1301
710	3189	1296
711	3190	1290
712	3206	1290
713	3208	1285
714	3209	1279
715	3211	1273
716	3213	1268
717	3218	1264
718	3220	1258
719	3221	1252
720	3223	1247
721	3225	1242
722	3244	1242
723	3245	1237
724	3246	1231
725	3248	1225
726	3249	1220
727	3250	1214
728	3252	1209
729	3253	1203
730	3254	1197
731	3255	1191
732	3257	1186
733	3259	1181
734	3260	1175
735	3261	1169
736	3261	1163
737	3262	1158
738	3277	1157
739	3280	1152
740	3288	1149
741	3289	1143
742	3291	1138
743	3301	1135
744	3303	1130
745	3354	1142
746	3355	1136
747	3356	1130
748	3362	1126
749	3367	1122
750	3382	1121
751	3383	1115
752	3384	1110
753	3385	1104
754	3387	1099
755	3391	1094
756	3396	1090
757	3400	1085
758	3401	1080
759	3403	1074
760	3404	1069
761	3433	1072
762	3437	1067
763	3440	1062
764	3443	1057
765	3455	1055
766	3456	1050
767	3458	1044
768	3476	1044
769	3489	1042
770	3491	1036
771	3492	1031
772	3499	1027
773	3508	1024
774	3532	1025
775	3537	1021
776	3539	1015
777	3541	1010
778	3542	1004
779	3543	999
780	3544	993
781	3545	988
782	3546	982
783	3547	977
784	3549	972
785	3551	966
786	3566	965
787	3571	960
788	3573	955
789	3574	950
790	3575	944
791	3576	939
792	3592	937
793	3593	932
794	3595	927
795	3599	922
796	3601	917
797	3602	911
798	3603	906
799	3625	906
800	3626	900
801	3628	895
802	3629	890
803	3630	884
804	3631	879
805	3632	874
806	3633	869
807	3634	863
808	3638	858
809	3640	853
810	3641	848
811	3642	843
812	3643	837
813	3644	832
814	3645	827
815	3646	822
816	3647	817
817	3648	811
818	3649	806
819	3650	801
820	3651	796
821	3652	790
822	3653	785
823	3654	780
824	3655	775
825	3659	770
826	3660	765
827	3661	760
828	3665	756
829	3667	751
830	3668	745
831	3669	740
832	3670	735
833	3671	730
834	3672	725
835	3673	720
836	3673	715
837	3674	710
838	3703	710
839	3705	705
840	3707	700
841	3719	698
842	3721	693
843	3722	688
844	3724	683
845	3726	678
846	3730	673
847	3733	669
848	3736	664
849	3738	659
850	3742	655
851	3744	650
852	3746	645
853	3748	640
854	3749	635
855	3750	630
856	3751	625
857	3751	620
858	3752	616
859	3753	611
860	3754	606
861	3755	601
862	3756	596
863	3757	591
864	3757	586
865	3758	581
866	3760	576
867	3760	571
868	3761	567
869	3762	562
870	3763	557
871	3764	552
872	3765	547
873	3765	542
874	3766	538
875	3767	533
876	3768	528
877	3769	523
878	3770	518
879	3771	514
880	3771	509
881	3772	504
88883	3803	499
884	3807	494
885	3808	489
886	3808	485
887	3809	480
888	3810	475
889	3811	471
890	3812	466
891	3813	461
892	3814	457
893	3824	453
894	3827	449
895	3830	444
896	3844	441
897	3845	436
898	3846	432
899	3847	427
900	3848	422
901	3849	418
902	3850	413
903	3851	409
904	3852	404
905	3854	399
906	3855	395
907	3856	390
908	3858	386
909	3864	382
910	3866	377
911	3868	373
912	3869	368
913	3870	364
914	3871	359
915	3873	355
916	3874	350
917	3875	346
918	3876	341
919	3877	337
920	3878	332
921	3879	328
922	3880	323
923	3881	319
924	3882	314
925	3883	310
926	3884	305
927	3885	301
928	3886	297
929	3886	292
930	3887	288
931	3888	283
932	3889	279
933	3890	274
934	3892	270
935	3893	266
936	3894	261
937	3895	257
938	3896	253
939	3897	248
940	3898	244
941	3900	240
942	3901	235
943	3902	231
944	3903	227
945	3904	222
946	3909	218
947	3910	214
948	3911	210
949	3912	205
950	3913	201
951	3914	197
952	3915	193
953	3916	188
954	3917	184
955	3917	180
956	3918	176
957	3919	171
958	3919	167
959	3920	163
960	3921	159
961	3921	154
962	3922	150
963	3923	146
964	3924	142
965	3927	138
966	3928	134
967	3929	129
968	3930	125
969	3931	121
970	3931	117
971	3932	113
972	3933	109
973	3934	105
974	3935	100
975	3935	96
976	3936	92
977	3937	88
978	3938	84
979	3938	80
980	3939	76
981	3940	72
982	3940	68
983	3941	64
984	3942	60
985	3943	55
986	3943	51
987	3944	47
988	3945	43
989	3946	39
990	3947	35
991	3947	31
992	3948	27
993	3949	23
994	3950	19
995	3950	15
996	3951	11
997	3952	7
998	3953	3
999	3953	0
99	3872	0
